       Lattice Point                 KS orbital 1                      KS orbital 2
                             Real Part         Imaginary Part      Real Part           Imaginary Part
        4.4000000000        0.0064858758        0.0000000000       -0.0064870287        0.0000000000
        4.8000000000        0.0097564147        0.0000000000       -0.0097572008        0.0000000000
        5.2000000000        0.0145656141        0.0000000000       -0.0145661522        0.0000000000
        5.6000000000        0.0215383100        0.0000000000       -0.0215386867        0.0000000000
        6.0000000000        0.0314685983        0.0000000000       -0.0314688604        0.0000000000
        6.4000000000        0.0452956689        0.0000000000       -0.0452958553        0.0000000000
        6.8000000000        0.0640095766        0.0000000000       -0.0640097031        0.0000000000
        7.2000000000        0.0884454113        0.0000000000       -0.0884454952        0.0000000000
        7.6000000000        0.1189284294        0.0000000000       -0.1189284731        0.0000000000
        8.0000000000        0.1547693556        0.0000000000       -0.1547693672        0.0000000000
        8.4000000000        0.1936932970        0.0000000000       -0.1936932744        0.0000000000
        8.8000000000        0.2314239968        0.0000000000       -0.2314239467        0.0000000000
        9.2000000000        0.2617873406        0.0000000000       -0.2617872635        0.0000000000
        9.6000000000        0.2777283994        0.0000000000       -0.2777283067        0.0000000000
       10.0000000000        0.2733767635        0.0000000000       -0.2733766614        0.0000000000
       10.4000000000        0.2466682809        0.0000000000       -0.2466681847        0.0000000000
       10.8000000000        0.2012631400        0.0000000000       -0.2012630562        0.0000000000
       11.2000000000        0.1462500828        0.0000000000       -0.1462500215        0.0000000000
       11.6000000000        0.0930516187        0.0000000000       -0.0930515773        0.0000000000
       12.0000000000        0.0508672113        0.0000000000       -0.0508671895        0.0000000000
       12.4000000000        0.0233956732        0.0000000000       -0.0233956619        0.0000000000
       12.8000000000        0.0088464750        0.0000000000       -0.0088464717        0.0000000000
       13.2000000000        0.0026804189        0.0000000000       -0.0026804170        0.0000000000
       13.6000000000        0.0006325598        0.0000000000       -0.0006325601        0.0000000000
       14.0000000000        0.0001084197        0.0000000000       -0.0001084190        0.0000000000
  
  
      -14.0000000000       -0.0001084190        0.0000000352       -0.0001084182        0.0000000352
      -13.6000000000       -0.0006325567        0.0000000791       -0.0006325570        0.0000000791
      -13.2000000000       -0.0026804079       -0.0000002011       -0.0026804060       -0.0000002011
      -12.8000000000       -0.0088464449       -0.0000024328       -0.0088464415       -0.0000024328
      -12.4000000000       -0.0233956069       -0.0000111130       -0.0233955956       -0.0000111130
      -12.0000000000       -0.0508670906       -0.0000343354       -0.0508670688       -0.0000343354
      -11.6000000000       -0.0930514305       -0.0000814202       -0.0930513891       -0.0000814202
      -11.2000000000       -0.1462498233       -0.0001572187       -0.1462497620       -0.0001572187
      -10.8000000000       -0.2012628137       -0.0002566102       -0.2012627300       -0.0002566102
      -10.4000000000       -0.2466678964       -0.0003638353       -0.2466678002       -0.0003638352
      -10.0000000000       -0.2733763312       -0.0004579056       -0.2733762291       -0.0004579055
       -9.6000000000       -0.2777279317       -0.0005207402       -0.2777278389       -0.0005207401
       -9.2000000000       -0.2617868530       -0.0005432082       -0.2617867759       -0.0005432081
       -8.8000000000       -0.2314235079       -0.0005264891       -0.2314234579       -0.0005264891
       -8.4000000000       -0.1936928263       -0.0004793905       -0.1936928037       -0.0004793905
       -8.0000000000       -0.1547689204       -0.0004140077       -0.1547689320       -0.0004140077
       -7.6000000000       -0.1189280423       -0.0003419189       -0.1189280859       -0.0003419191
