     Lattice Point       Full KS potential   Exchange Correlation  Hartree Potential  Potential-External potential
                                               Potential
      -14.0000000000       10.0636370744       -0.2784492542        0.2734335798       -0.0050156744
      -13.6000000000        6.9316771649       -0.3038593208        0.2995778545       -0.0042814663
      -13.2000000000        4.5996182117       -0.3364554697        0.3329339391       -0.0035215306
      -12.8000000000        2.8905629111       -0.3811851088        0.3784508443       -0.0027342645
      -12.4000000000        1.6618166517       -0.4506026759        0.4486844623       -0.0019182136
      -12.0000000000        0.7991164586       -0.5745140906        0.5734423379       -0.0010717526
      -11.6000000000        0.2116932182       -0.8037472749        0.8035541218       -0.0001931531
      -11.2000000000       -0.1719316063       -1.1827831840        1.1835026415        0.0007194575
      -10.8000000000       -0.4075050558       -1.6897821358        1.6914502293        0.0016680935
      -10.4000000000       -0.5380390495       -2.2030104685        2.2056654045        0.0026549360
      -10.0000000000       -0.5963176563       -2.5528922751        2.5565746188        0.0036823437
       -9.6000000000       -0.6069813347       -2.6262382565        2.6309911318        0.0047528753
       -9.2000000000       -0.5882473130       -2.4276794219        2.4335487297        0.0058693078
       -8.8000000000       -0.5533188154       -2.0552013420        2.0622360066        0.0070346646
       -8.4000000000       -0.5115299154       -1.6303266808        1.6385789190        0.0082522382
       -8.0000000000       -0.4692672817       -1.2429751196        1.2525007467        0.0095256271
       -7.6000000000       -0.4307050787       -0.9349101484        0.9457689131        0.0108587647
       -7.2000000000       -0.3983846280       -0.7106274914        0.7228834601        0.0122559687
       -6.8000000000       -0.3736662960       -0.5558157698        0.5695377476        0.0137219779
       -6.4000000000       -0.3570771805       -0.4514588099        0.4667208299        0.0152620200
       -6.0000000000       -0.3485748382       -0.3809557332        0.3978375862        0.0168818530
       -5.6000000000       -0.3477440472       -0.3321987179        0.3507865912        0.0185878734
       -5.2000000000       -0.3539410909       -0.2971968295        0.3175839711        0.0203871416
       -4.8000000000       -0.3663972033       -0.2709673419        0.2932549213        0.0222875794
       -4.4000000000       -0.3842913396       -0.2504850121        0.2747829338        0.0242979216
       -4.0000000000       -0.4067994485       -0.2339175890        0.2603457116        0.0264281227
       -3.6000000000       -0.4331276994       -0.2201365465        0.2488255744        0.0286890278
       -3.2000000000       -0.4625325871       -0.2084238140        0.2395170854        0.0310932714
       -2.8000000000       -0.4943352813       -0.1983050788        0.2319588445        0.0336537657
       -2.4000000000       -0.5279276763       -0.1894530206        0.2258381153        0.0363850947
       -2.0000000000       -0.5627829899       -0.1816395946        0.2209365535        0.0392969589
       -1.6000000000       -0.5984536393       -0.1747004943        0.2170988176        0.0423983232
       -1.2000000000       -0.6345258502       -0.1684702542        0.2142139717        0.0457437175
       -0.8000000000       -0.6702180214       -0.1623689865        0.2122042131        0.0498352266
       -0.4000000000       -0.7029512576       -0.1539658951        0.2110179655        0.0570520704
        0.0000000000       -0.7359878640       -0.1466136106        0.2106257466        0.0640121360
        0.4000000000       -0.7829515659       -0.1539661984        0.2110179606        0.0570517621
        0.8000000000       -0.8302179896       -0.1623689447        0.2122042032        0.0498352584
        1.2000000000       -0.8745260518       -0.1684704406        0.2142139565        0.0457435159
        1.6000000000       -0.9184537441       -0.1747005783        0.2170987967        0.0423982184
        2.0000000000       -0.9627831476       -0.1816397251        0.2209365263        0.0392968012
