    Lattice point               Exact Density             KS density
  -14.000000000000000        2.3509506509790930E-008   2.3509506506372143E-008
  -13.600000000000000        8.0026418330920003E-007   8.0026418333131268E-007
  -13.199999999999999        1.4369280676432780E-005   1.4369280676350845E-005
  -12.800000000000001        1.5652018143348195E-004   1.5652018143369904E-004
  -12.400000000000000        1.0947145180290592E-003   1.0947145180286067E-003
  -12.000000000000000        5.1749441509471765E-003   5.1749441509479606E-003
  -11.600000000000000        1.7317199783497213E-002   1.7317199783496010E-002
  -11.199999999999999        4.2778155487206655E-002   4.2778155487208328E-002
  -10.800000000000001        8.1013669309826203E-002   8.1013669309824288E-002
  -10.400000000000000       0.12169043415149919       0.12169043415150178     
  -10.000000000000000       0.14946965383144542       0.14946965383144317     
  -9.5999999999999996       0.15426607617478244       0.15426607617478511     
  -9.1999999999999993       0.13706518305900314       0.13706518305900078     
  -8.8000000000000007       0.10711410940602670       0.10711410940602847     
  -8.3999999999999986        7.5034177879934244E-002   7.5034177879931968E-002
  -8.0000000000000000        4.7907110483825108E-002   4.7907110483826031E-002
  -7.5999999999999996        2.8287953044507413E-002   2.8287953044505640E-002
  -7.1999999999999993        1.5645196403658690E-002   1.5645196403659162E-002
  -6.7999999999999998        8.1944679969163693E-003   8.1944679969152574E-003
  -6.3999999999999995        4.1034121237015558E-003   4.1034121237018715E-003
  -6.0000000000000000        1.9805618537026013E-003   1.9805618537020123E-003
  -5.5999999999999996        9.2781382273104084E-004   9.2781382273124629E-004
  -5.1999999999999993        4.2432990303008022E-004   4.2432990302978450E-004
  -4.7999999999999989        1.9039059445009228E-004   1.9039059445022914E-004
  -4.3999999999999986        8.4148126675003394E-005   8.4148126674849329E-005
  -4.0000000000000000        3.6756828153478206E-005   3.6756828153560971E-005
  -3.5999999999999996        1.5910046640577060E-005   1.5910046640494230E-005
  -3.1999999999999993        6.8382850753264198E-006   6.8382850753808476E-006
  -2.7999999999999989        2.9230599379455931E-006   2.9230599378965694E-006
  -2.3999999999999986        1.2440807625974424E-006   1.2440807626333350E-006
  -2.0000000000000000        5.2763315116188506E-007   5.2763315113147467E-007
  -1.5999999999999996        2.2321589198543650E-007   2.2321589200808801E-007
  -1.1999999999999993        9.4484844287627804E-008   9.4484844270268247E-008
 -0.79999999999999893        4.0692131866977341E-008   4.0692131879003819E-008
 -0.39999999999999858        1.9422200459709901E-008   1.9422200451394043E-008
   0.0000000000000000        1.3820036525477081E-008   1.3820036532425810E-008
  0.40000000000000036        1.9422200459625890E-008   1.9422200451394043E-008
  0.80000000000000071        4.0692131866825669E-008   4.0692131879003819E-008
   1.2000000000000011        9.4484844287404161E-008   9.4484844270268247E-008
   1.6000000000000014        2.2321589198509808E-007   2.2321589200808801E-007
   2.0000000000000000        5.2763315116137589E-007   5.2763315113147467E-007
   2.4000000000000021        1.2440807625967675E-006   1.2440807626333350E-006
   2.8000000000000007        2.9230599379447503E-006   2.9230599378965694E-006
   3.1999999999999993        6.8382850753258040E-006   6.8382850753808476E-006
   3.6000000000000014        1.5910046640575857E-005   1.5910046640494230E-005
   4.0000000000000000        3.6756828153474764E-005   3.6756828153560971E-005
   4.4000000000000021        8.4148126674996808E-005   8.4148126674849329E-005
   4.8000000000000007        1.9039059445008085E-004   1.9039059445022914E-004
   5.2000000000000028        4.2432990303005566E-004   4.2432990302978450E-004
   5.6000000000000014        9.2781382273099584E-004   9.2781382273124629E-004
   6.0000000000000000        1.9805618537025319E-003   1.9805618537020123E-003
   6.4000000000000021        4.1034121237014725E-003   4.1034121237018715E-003
   6.8000000000000007        8.1944679969162635E-003   8.1944679969152574E-003
   7.2000000000000028        1.5645196403658621E-002   1.5645196403659162E-002
   7.6000000000000014        2.8287953044507420E-002   2.8287953044505640E-002
   8.0000000000000000        4.7907110483825364E-002   4.7907110483826031E-002
   8.4000000000000021        7.5034177879934619E-002   7.5034177879931968E-002
   8.8000000000000007       0.10711410940602735       0.10711410940602847     
   9.2000000000000028       0.13706518305900389       0.13706518305900078     
   9.6000000000000014       0.15426607617478275       0.15426607617478511     
   10.000000000000000       0.14946965383144545       0.14946965383144317     
   10.400000000000002       0.12169043415149880       0.12169043415150178     
   10.800000000000001        8.1013669309825592E-002   8.1013669309824288E-002
   11.200000000000003        4.2778155487206149E-002   4.2778155487208328E-002
   11.600000000000001        1.7317199783496957E-002   1.7317199783496006E-002
   12.000000000000000        5.1749441509470907E-003   5.1749441509479606E-003
   12.400000000000002        1.0947145180290414E-003   1.0947145180286067E-003
   12.800000000000001        1.5652018143348008E-004   1.5652018143369904E-004
   13.200000000000003        1.4369280676432694E-005   1.4369280676351350E-005
   13.600000000000001        8.0026418330926420E-007   8.0026418333102183E-007
   14.000000000000000        2.3509506509800191E-008   2.3509506506370072E-008
  
  
  -14.000000000000000        2.3509506509790930E-008   2.3509200833062952E-008
  -13.600000000000000        8.0026418330920003E-007   8.0025630671120919E-007
  -13.199999999999999        1.4369280676432780E-005   1.4369162582457081E-005
  -12.800000000000001        1.5652018143348195E-004   1.5651912634963668E-004
  -12.400000000000000        1.0947145180290592E-003   1.0947085612807489E-003
  -12.000000000000000        5.1749441509471765E-003   5.1749219439656538E-003
  -11.600000000000000        1.7317199783497213E-002   1.7317142989094186E-002
  -11.199999999999999        4.2778155487206655E-002   4.2778053158156422E-002
  -10.800000000000001        8.1013669309826203E-002   8.1013538328307072E-002
  -10.400000000000000       0.12169043415149919       0.12169031952229084     
  -10.000000000000000       0.14946965383144542       0.14946960043022239     
  -9.5999999999999996       0.15426607617478244       0.15426609889151832     
  -9.1999999999999993       0.13706518305900314       0.13706526261995622     
  -8.8000000000000007       0.10711410940602670       0.10711421123863424     
  -8.3999999999999986        7.5034177879934244E-002   7.5034272823088194E-002
  -8.0000000000000000        4.7907110483825108E-002   4.7907183845782880E-002
  -7.5999999999999996        2.8287953044507413E-002   2.8288002682131407E-002
  -7.1999999999999993        1.5645196403658690E-002   1.5645226775033390E-002
  -6.7999999999999998        8.1944679969163693E-003   8.1944851700639400E-003
  -6.3999999999999995        4.1034121237015558E-003   4.1034212449404112E-003
  -6.0000000000000000        1.9805618537026013E-003   1.9805664610356823E-003
  -5.5999999999999996        9.2781382273104084E-004   9.2781605888014960E-004
  -5.1999999999999993        4.2432990303008022E-004   4.2433095400278204E-004
  -4.7999999999999989        1.9039059445009228E-004   1.9039107616725733E-004
  -4.3999999999999986        8.4148126675003394E-005   8.4148343032326023E-005
  -4.0000000000000000        3.6756828153478206E-005   3.6756923876941650E-005
  -3.5999999999999996        1.5910046640577060E-005   1.5910088452865019E-005
  -3.1999999999999993        6.8382850753264198E-006   6.8383031905616728E-006
  -2.7999999999999989        2.9230599379455931E-006   2.9230677182988218E-006
  -2.3999999999999986        1.2440807625974424E-006   1.2440840937576052E-006
  -2.0000000000000000        5.2763315116188506E-007   5.2763456614720338E-007
  -1.5999999999999996        2.2321589198543650E-007   2.2321649362300787E-007
  -1.1999999999999993        9.4484844287627804E-008   9.4485096467794346E-008
 -0.79999999999999893        4.0692131866977341E-008   4.0692236159844528E-008
 -0.39999999999999858        1.9422200459709901E-008   1.9422237464630093E-008
   0.0000000000000000        1.3820036525477081E-008   1.3820036532443649E-008
  0.40000000000000036        1.9422200459625890E-008   1.9422163438376359E-008
  0.80000000000000071        4.0692131866825669E-008   4.0692027598364201E-008
   1.2000000000000011        9.4484844287404161E-008   9.4484592073572135E-008
   1.6000000000000014        2.2321589198509808E-007   2.2321529039458376E-007
   2.0000000000000000        5.2763315116137589E-007   5.2763173611984496E-007
   2.4000000000000021        1.2440807625967675E-006   1.2440774315175158E-006
   2.8000000000000007        2.9230599379447503E-006   2.9230521575156872E-006
   3.1999999999999993        6.8382850753258040E-006   6.8382669602466516E-006
   3.6000000000000014        1.5910046640575857E-005   1.5910004828234955E-005
   4.0000000000000000        3.6756828153474764E-005   3.6756732430424774E-005
   4.4000000000000021        8.4148126674996808E-005   8.4147910317927042E-005
   4.8000000000000007        1.9039059445008085E-004   1.9039011273439677E-004
   5.2000000000000028        4.2432990303005566E-004   4.2432885205933972E-004
   5.6000000000000014        9.2781382273099584E-004   9.2781158658753827E-004
   6.0000000000000000        1.9805618537025319E-003   1.9805572463786909E-003
   6.4000000000000021        4.1034121237014725E-003   4.1034030024823948E-003
   6.8000000000000007        8.1944679969162635E-003   8.1944508237995553E-003
   7.2000000000000028        1.5645196403658621E-002   1.5645166032336566E-002
   7.6000000000000014        2.8287953044507420E-002   2.8287903406951379E-002
   8.0000000000000000        4.7907110483825364E-002   4.7907037121949402E-002
   8.4000000000000021        7.5034177879934619E-002   7.5034082936833141E-002
   8.8000000000000007       0.10711410940602735       0.10711400757341910     
   9.2000000000000028       0.13706518305900389       0.13706510349792694     
   9.6000000000000014       0.15426607617478275       0.15426605345785102     
   10.000000000000000       0.14946965383144545       0.14946970723244102     
   10.400000000000002       0.12169043415149880       0.12169054878059853     
   10.800000000000001        8.1013669309825592E-002   8.1013800291378571E-002
   11.200000000000003        4.2778155487206149E-002   4.2778257816397922E-002
   11.600000000000001        1.7317199783496957E-002   1.7317256578035789E-002
   12.000000000000000        5.1749441509470907E-003   5.1749663580084723E-003
   12.400000000000002        1.0947145180290414E-003   1.0947204748049024E-003
   12.800000000000001        1.5652018143348008E-004   1.5652123652420508E-004
   13.200000000000003        1.4369280676432694E-005   1.4369398771150582E-005
   13.600000000000001        8.0026418330926420E-007   8.0027206002359078E-007
   14.000000000000000        2.3509506509800191E-008   2.3509812183357549E-008
  
  
  -14.000000000000000        2.3509200836472276E-008   2.3508284290897742E-008
  -13.600000000000000        8.0025630668918189E-007   8.0023267665844882E-007
  -13.199999999999999        1.4369162582537012E-005   1.4368808320370828E-005
  -12.800000000000001        1.5651912634941824E-004   1.5651596119654871E-004
  -12.400000000000000        1.0947085612810904E-003   1.0946906915076902E-003
  -12.000000000000000        5.1749219439646494E-003   5.1748553242038330E-003
  -11.600000000000000        1.7317142989094002E-002   1.7316972608005143E-002
  -11.199999999999999        4.2778053158153022E-002   4.2777746173076892E-002
  -10.800000000000001        8.1013538328304796E-002   8.1013145384642188E-002
  -10.400000000000000       0.12169031952227974       0.12168997563338690     
  -10.000000000000000       0.14946960043021895       0.14946944022407382     
  -9.5999999999999996       0.15426609889150369       0.15426616703903076     
  -9.1999999999999993       0.13706526261995700       0.13706550130119910     
  -8.8000000000000007       0.10711421123862482       0.10711451673577725     
  -8.3999999999999986        7.5034272823087542E-002   7.5034557652712844E-002
  -8.0000000000000000        4.7907183845779883E-002   4.7907403932045137E-002
  -7.5999999999999996        2.8288002682131896E-002   2.8288151595464411E-002
  -7.1999999999999993        1.5645226775032189E-002   1.5645317889475034E-002
  -6.7999999999999998        8.1944851700648472E-003   8.1945366897349936E-003
  -6.3999999999999995        4.1034212449399697E-003   4.1034486087745308E-003
  -6.0000000000000000        1.9805664610361446E-003   1.9805802831076545E-003
  -5.5999999999999996        9.2781605887993742E-004   9.2782276735789513E-004
  -5.1999999999999993        4.2433095400305624E-004   4.2433410693991651E-004
  -4.7999999999999989        1.9039107616711256E-004   1.9039252132478754E-004
  -4.3999999999999986        8.4148343032480603E-005   8.4148992108985088E-005
  -4.0000000000000000        3.6756923876857252E-005   3.6757211048150487E-005
  -3.5999999999999996        1.5910088452947747E-005   1.5910213890959071E-005
  -3.1999999999999993        6.8383031905071222E-006   6.8383575362072009E-006
  -2.7999999999999989        2.9230677183479052E-006   2.9230910597530952E-006
  -2.3999999999999986        1.2440840937217211E-006   1.2440940871085222E-006
  -2.0000000000000000        5.2763456617764871E-007   5.2763881126513307E-007
  -1.5999999999999996        2.2321649360035773E-007   2.2321829844788702E-007
  -1.1999999999999993        9.4485096485165338E-008   9.4485853082562537E-008
 -0.79999999999999893        4.0692236147822410E-008   4.0692548993859148E-008
 -0.39999999999999858        1.9422237472934576E-008   1.9422348510007516E-008
   0.0000000000000000        1.3820036525491381E-008   1.3820036532660162E-008
  0.40000000000000036        1.9422163446625841E-008   1.9422052396375014E-008
  0.80000000000000071        4.0692027586177640E-008   4.0691714767267417E-008
   1.2000000000000011        9.4484592090708445E-008   9.4483835471345285E-008
   1.6000000000000014        2.2321529037158896E-007   2.2321348559066438E-007
   2.0000000000000000        5.2763173614976259E-007   5.2762749106373057E-007
   2.4000000000000021        1.2440774314808928E-006   1.2440674382920391E-006
   2.8000000000000007        2.9230521575639058E-006   2.9230288163822089E-006
   3.1999999999999993        6.8382669601916046E-006   6.8382126152975463E-006
   3.6000000000000014        1.5910004828315978E-005   1.5909879391801911E-005
   4.0000000000000000        3.6756732430338959E-005   3.6756445262865327E-005
   4.4000000000000021        8.4147910318070564E-005   8.4147261249537892E-005
   4.8000000000000007        1.9039011273424457E-004   1.9038866759465186E-004
   5.2000000000000028        4.2432885205961234E-004   4.2432569916023169E-004
   5.6000000000000014        9.2781158658725485E-004   9.2780487818722472E-004
   6.0000000000000000        1.9805572463791471E-003   1.9805434244593266E-003
   6.4000000000000021        4.1034030024818249E-003   4.1033756389303681E-003
   6.8000000000000007        8.1944508238002301E-003   8.1943993046157820E-003
   7.2000000000000028        1.5645166032335688E-002   1.5645074918655709E-002
   7.6000000000000014        2.8287903406952065E-002   2.8287754494658181E-002
   8.0000000000000000        4.7907037121946258E-002   4.7906817036827490E-002
   8.4000000000000021        7.5034082936833738E-002   7.5033798108004660E-002
   8.8000000000000007       0.10711400757341159       0.10711370207602172     
   9.2000000000000028       0.13706510349792486       0.13706486481482769     
   9.6000000000000014       0.15426605345783925       0.15426598530702407     
   10.000000000000000       0.14946970723243735       0.14946986743509172     
   10.400000000000002       0.12169054878058712       0.12169089266755477     
   10.800000000000001        8.1013800291375726E-002   8.1014193235485005E-002
   11.200000000000003        4.2778257816393557E-002   4.2778564803489086E-002
   11.600000000000001        1.7317256578035217E-002   1.7317426961155194E-002
   12.000000000000000        5.1749663580074358E-003   5.1750329789376475E-003
   12.400000000000002        1.0947204748052578E-003   1.0947383450019528E-003
   12.800000000000001        1.5652123652397219E-004   1.5652440177372834E-004
   13.200000000000003        1.4369398771231240E-005   1.4369753046783287E-005
   13.600000000000001        8.0027206000169233E-007   8.0029569116217052E-007
   14.000000000000000        2.3509812186795871E-008   2.3510728780720863E-008
  
  
  -14.000000000000000        2.3508284294265310E-008   2.3506758306011705E-008
  -13.600000000000000        8.0023267663676986E-007   8.0019329263292843E-007
  -13.199999999999999        1.4368808320447593E-005   1.4368217948758854E-005
  -12.800000000000001        1.5651596119632886E-004   1.5651068627194379E-004
  -12.400000000000000        1.0946906915078728E-003   1.0946609101204771E-003
  -12.000000000000000        5.1748553242028901E-003   5.1747442952204993E-003
  -11.600000000000000        1.7316972608002208E-002   1.7316688646573861E-002
  -11.199999999999999        4.2777746173072097E-002   4.2777234538204548E-002
  -10.800000000000001        8.1013145384634583E-002   8.1012490481491922E-002
  -10.400000000000000       0.12168997563336714       0.12168940248100725     
  -10.000000000000000       0.14946944022406133       0.14946917320552178     
  -9.5999999999999996       0.15426616703900628       0.15426628060932757     
  -9.1999999999999993       0.13706550130119075       0.13706589909780109     
  -8.8000000000000007       0.10711451673576226       0.10711502589547806     
  -8.3999999999999986        7.5034557652707404E-002   7.5035032369268118E-002
  -8.0000000000000000        4.7907403932040564E-002   4.7907770743796756E-002
  -7.5999999999999996        2.8288151595463898E-002   2.8288399785876696E-002
  -7.1999999999999993        1.5645317889472574E-002   1.5645469747940871E-002
  -6.7999999999999998        8.1945366897358072E-003   8.1946225566037929E-003
  -6.3999999999999995        4.1034486087737120E-003   4.1034942155591045E-003
  -6.0000000000000000        1.9805802831081042E-003   1.9806033201316617E-003
  -5.5999999999999996        9.2782276735764663E-004   9.2783394825752012E-004
  -5.1999999999999993        4.2433410694017797E-004   4.2433936189565952E-004
