      -14.5000000000        0.0000083354        0.0000005227
      -14.2583333333        0.0000343454        0.0000022986
      -14.0166666667        0.0001144524        0.0000081860
      -13.7750000000        0.0003385247        0.0000261413
      -13.5333333333        0.0008985780        0.0000754159
      -13.2916666667        0.0021573057        0.0001984813
      -13.0500000000        0.0047159847        0.0004799767
      -12.8083333333        0.0094469188        0.0010746775
      -12.5666666667        0.0174433855        0.0022436246
      -12.3250000000        0.0298521230        0.0043978270
      -12.0833333333        0.0475875286        0.0081465648
      -11.8416666667        0.0709734010        0.0143497722
      -11.6000000000        0.0993893756        0.0241710115
      -11.3583333333        0.1309911733        0.0391229495
      -11.1166666667        0.1625180322        0.0610659223
      -10.8750000000        0.1891204080        0.0920453551
      -10.6333333333        0.2041259047        0.1336719474
      -10.3916666667        0.1989438738        0.1854793004
      -10.1500000000        0.1643191503        0.2417520882
       -9.9083333333        0.0955296580        0.2883720736
       -9.6666666667        0.0015391690        0.3061669966
       -9.4250000000       -0.0928985413        0.2853090331
       -9.1833333333       -0.1628759753        0.2358687391
       -8.9416666667       -0.1997708216        0.1779522660
       -8.7000000000       -0.2093634054        0.1262570208
       -8.4583333333       -0.2015405458        0.0861648522
       -8.2166666667       -0.1844114658        0.0573746678
       -7.9750000000       -0.1632599154        0.0375873204
       -7.7333333333       -0.1412084219        0.0243423100
       -7.4916666667       -0.1200030714        0.0156275706
       -7.2500000000       -0.1005579094        0.0099625854
       -7.0083333333       -0.0832867298        0.0063138987
       -6.7666666667       -0.0683019412        0.0039812348
       -6.5250000000       -0.0555368447        0.0024992596
       -6.2833333333       -0.0448234723        0.0015627790
       -6.0416666667       -0.0359431905        0.0009738254
       -5.8000000000       -0.0286595936        0.0006049510
       -5.5583333333       -0.0227393204        0.0003747920
       -5.3166666667       -0.0179644711        0.0002316336
       -5.0750000000       -0.0141392066        0.0001428645
       -4.8333333333       -0.0110924043        0.0000879447
       -4.5916666667       -0.0086777650        0.0000540573
       -4.3500000000       -0.0067723654        0.0000331752
       -4.1083333333       -0.0052743783        0.0000203410
       -3.8666666667       -0.0041004310        0.0000124539
       -3.6250000000       -0.0031829267        0.0000076228
       -3.3833333333       -0.0024675045        0.0000046581
       -3.1416666667       -0.0019107517        0.0000028483
       -2.9000000000       -0.0014781981        0.0000017373
       -2.6583333333       -0.0011426114        0.0000010622
       -2.4166666667       -0.0008825652        0.0000006464
       -2.1750000000       -0.0006812641        0.0000003956
       -1.9333333333       -0.0005255833        0.0000002398
       -1.6916666667       -0.0004053018        0.0000001470
       -1.4500000000       -0.0003124937        0.0000000884
       -1.2083333333       -0.0002410667        0.0000000542
       -0.9666666667       -0.0001864353        0.0000000318
       -0.7250000000       -0.0001453501        0.0000000189
       -0.4833333333       -0.0001159046        0.0000000100
       -0.2416666667       -0.0000976595        0.0000000045
        0.0000000000       -0.0000913741        0.0000000000
        0.2416666667       -0.0000976595       -0.0000000045
        0.4833333333       -0.0001159046       -0.0000000100
        0.7250000000       -0.0001453501       -0.0000000189
        0.9666666667       -0.0001864353       -0.0000000318
        1.2083333333       -0.0002410667       -0.0000000542
        1.4500000000       -0.0003124937       -0.0000000884
        1.6916666667       -0.0004053018       -0.0000001470
        1.9333333333       -0.0005255833       -0.0000002398
        2.1750000000       -0.0006812641       -0.0000003956
        2.4166666667       -0.0008825652       -0.0000006464
        2.6583333333       -0.0011426114       -0.0000010622
        2.9000000000       -0.0014781981       -0.0000017373
        3.1416666667       -0.0019107517       -0.0000028483
        3.3833333333       -0.0024675045       -0.0000046581
        3.6250000000       -0.0031829267       -0.0000076228
        3.8666666667       -0.0041004310       -0.0000124539
        4.1083333333       -0.0052743783       -0.0000203410
        4.3500000000       -0.0067723654       -0.0000331752
